AUSTRALIA POSITION,AUSTRALIA LAP TIME,AUSTRALIA ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
3,12.02,12.02,1,11.41,11.41,2,11.62,11.62,4,12.03,12.03
3,8.53,20.55,1,8.65,20.06,2,8.77,20.39,4,8.67,20.70
2,8.42,28.97,1,8.60,28.66,4,10.65,31.04,3,8.58,29.28
3,9.40,38.37,1,8.57,37.23,4,11.08,42.12,2,9.01,38.29
2,8.83,47.20,1,9.01,46.24,4,9.32,51.44,3,8.95,47.24
3,8.97,56.17,1,9.12,55.36,4,9.06,1:00.50,2,8.83,56.07
3,8.85,1:05.02,1,8.91,1:04.27,4,9.19,1:09.69,2,8.68,1:04.75
3,9.06,1:14.08,1,8.76,1:13.03,4,9.16,1:18.85,2,9.33,1:14.08
3,9.31,1:23.39,1,8.70,1:21.73,4,9.31,1:28.16,2,8.96,1:23.04
3,9.23,1:32.62,1,8.66,1:30.39,4,9.16,1:37.32,2,9.13,1:32.17
3,9.19,1:41.81,1,9.30,1:39.69,4,9.33,1:46.65,2,9.15,1:41.32
3,9.00,1:50.81,1,9.27,1:48.96,4,9.30,1:55.95,2,9.25,1:50.57
3,9.31,2:00.12,1,9.09,1:58.05,4,9.37,2:05.32,2,8.92,1:59.49
3,9.21,2:09.33,1,8.85,2:06.90,4,9.24,2:14.56,2,9.11,2:08.60
3,9.42,2:18.75,1,9.12,2:16.02,4,9.41,2:23.97,2,9.08,2:17.68
3,9.47,2:28.22,1,9.26,2:25.28,4,9.40,2:33.37,2,9.02,2:26.70
3,9.51,2:37.73,1,9.49,2:34.77,4,9.20,2:42.57,2,9.92,2:36.62
3,9.40,2:47.13,1,9.69,2:44.46,4,9.30,2:51.87,2,9.52,2:46.14
3,9.72,2:56.85,1,9.24,2:53.70,4,9.43,3:01.30,2,9.22,2:55.36
3,9.26,3:06.11,1,8.99,3:02.69,4,9.51,3:10.81,2,9.10,3:04.46
3,9.55,3:15.66,1,9.01,3:11.70,4,9.46,3:20.27,2,9.46,3:13.92
3,9.52,3:25.18,1,9.46,3:21.16,4,9.41,3:29.68,2,9.17,3:23.09
3,9.75,3:34.93,1,9.83,3:30.99,4,9.46,3:39.14,2,9.47,3:32.56
3,9.75,3:44.68,1,9.53,3:40.52,4,9.49,3:48.63,2,9.59,3:42.15
3,9.86,3:54.54,1,9.07,3:49.59,4,9.59,3:58.22,2,9.40,3:51.55
3,9.62,4:04.16,1,8.82,3:58.41,4,10.05,4:08.27,2,9.65,4:01.20
0,,PEN,1,9.73,4:08.141,3,10.13,4:18.400,2,9.89,4:11.087
