BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
1,12.50,12.50,4,12.79,12.79,2,12.61,12.61,3,12.70,12.70,5,12.86,12.86
2,10.06,22.56,4,10.08,22.87,1,9.94,22.55,3,10.10,22.80,5,10.12,22.98
3,9.60,32.16,4,9.38,32.25,2,9.53,32.08,1,9.28,32.08,5,9.39,32.37
3,9.26,41.42,4,9.29,41.54,1,9.23,41.31,2,9.28,41.36,5,9.21,41.58
3,9.36,50.78,4,9.33,50.87,1,9.25,50.56,2,9.28,50.64,5,9.39,50.97
3,9.22,1:00.00,4,9.21,1:00.08,1,9.26,59.82,2,9.27,59.91,5,9.13,1:00.10
2,9.18,1:09.18,5,9.40,1:09.48,3,9.37,1:09.19,1,9.14,1:09.05,4,9.16,1:09.26
5,12.05,1:21.23,3,9.22,1:18.70,2,9.44,1:18.63,1,9.33,1:18.38,4,9.56,1:18.82
4,11.88,1:33.106,2,9.36,1:28.053,0,,PEN,1,9.58,1:27.955,3,9.51,1:28.324
