Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,6.593,6.593,1,6.502,6.502,4,6.918,6.918,3,6.846,6.846
1,8.859,15.452,4,9.393,15.894,2,8.545,15.463,3,8.900,15.745
3,8.959,24.410,4,8.913,24.807,1,8.493,23.955,2,8.337,24.082
3,9.124,33.534,4,9.117,33.924,2,9.310,33.264,1,8.877,32.958
3,10.01,43.542,4,9.73,43.645,2,10.02,43.280,1,9.34,42.291
