Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
1,15.77,15.77,2,15.84,15.84,4,16.16,16.16,3,16.04,16.04,5,16.19,16.19
1,10.75,26.52,2,10.76,26.60,3,10.57,26.73,4,10.76,26.80,5,10.69,26.88
1,10.51,37.03,2,10.54,37.14,3,10.51,37.24,4,10.55,37.35,4,10.47,37.35
1,10.03,47.06,2,10.16,47.30,3,10.12,47.36,5,10.16,47.51,4,10.12,47.47
1,9.89,56.95,3,10.04,57.34,5,10.21,57.57,2,9.63,57.14,4,9.89,57.36
1,9.95,1:06.90,4,10.22,1:07.56,5,10.34,1:07.91,2,9.83,1:06.97,3,9.71,1:07.07
2,10.00,1:16.90,4,11.12,1:18.68,5,10.85,1:18.76,1,9.89,1:16.86,3,9.88,1:16.95
2,9.92,1:26.82,5,12.16,1:30.84,4,11.30,1:30.06,1,9.77,1:26.63,3,9.89,1:26.84
3,10.37,1:37.19,5,12.44,1:43.28,4,11.63,1:41.69,1,10.02,1:36.65,2,9.92,1:36.76
