Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME
4,11.04,11.04,5,11.16,11.16,3,10.81,10.81,2,10.63,10.63,1,10.39,10.39
4,15.01,26.05,5,15.04,26.20,3,15.09,25.90,2,15.08,25.71,1,15.05,25.44
4,13.29,39.34,5,13.27,39.47,3,13.27,39.17,2,13.30,39.01,1,13.40,38.84
3,12.18,51.52,5,12.37,51.84,4,12.45,51.62,2,12.51,51.52,1,12.46,51.30
3,10.77,1:02.29,5,10.69,1:02.53,4,10.83,1:02.45,1,10.66,1:02.18,2,10.89,1:02.19
3,10.83,1:13.12,4,10.63,1:13.16,5,10.77,1:13.22,1,10.72,1:12.90,2,10.80,1:12.99
4,9.67,1:22.79,1,9.34,1:22.50,5,9.67,1:22.89,2,9.73,1:22.63,3,9.72,1:22.71
4,9.40,1:32.19,1,9.47,1:31.97,5,9.40,1:32.29,2,9.42,1:32.05,3,9.39,1:32.10
3,9.52,1:41.71,1,9.55,1:41.52,5,9.60,1:41.89,2,9.59,1:41.64,4,9.72,1:41.82
3,9.33,1:51.04,1,9.37,1:50.89,5,9.37,1:51.26,2,9.38,1:51.02,4,9.31,1:51.13
3,9.51,2:00.55,1,9.48,2:00.37,4,9.37,2:00.63,2,9.46,2:00.48,5,9.69,2:00.82
1,9.10,2:09.65,2,9.56,2:09.93,4,9.40,2:10.03,3,9.51,2:09.99,5,9.70,2:10.52
1,8.93,2:18.58,3,9.39,2:19.32,2,9.07,2:19.10,4,9.48,2:19.47,5,9.67,2:20.19
1,9.26,2:27.837,3,9.48,2:28.800,2,9.28,2:28.377,4,9.34,2:28.808,5,10.01,2:30.198
