Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
1,6.84,6.84,3,7.14,7.14,2,6.93,6.93,4,7.22,7.22
1,8.82,15.66,3,8.82,15.96,2,8.82,15.75,4,8.90,16.12
4,10.17,25.83,3,9.22,25.18,1,8.92,24.67,2,8.64,24.76
3,10.23,36.06,2,8.72,33.90,4,33.48,58.15,1,8.86,33.62
3,11.29,47.341,2,8.71,42.608,0,,notime,1,8.95,42.568
