HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
4,13.37,13.37,2,13.24,13.24,1,13.07,13.07,5,13.50,13.50,3,13.35,13.35
1,10.40,23.77,3,10.82,24.06,2,10.71,23.78,5,10.79,24.30,4,10.91,24.26
2,9.81,33.58,3,9.77,33.83,1,9.63,33.42,5,9.73,34.03,4,9.66,33.92
2,9.91,43.50,3,9.82,43.66,1,9.87,43.29,5,9.74,43.78,4,9.82,43.75
2,9.38,52.88,3,9.46,53.12,1,9.32,52.62,5,9.52,53.31,4,9.40,53.15
4,9.53,1:02.41,2,9.03,1:02.16,1,9.25,1:01.88,5,9.21,1:02.53,3,9.20,1:02.35
4,9.13,1:11.55,1,8.73,1:10.89,2,9.41,1:11.29,5,9.39,1:11.92,3,9.15,1:11.51
2,9.05,1:20.61,5,18.35,1:29.25,1,9.03,1:20.32,3,9.77,1:21.70,4,11.04,1:22.55
0,,DQ,1,0.02,1:29.268,2,9.74,1:30.060,4,10.17,1:31.870,3,7.79,1:30.331
