LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME
1,7.87,7.87,3,7.93,7.93,5,8.13,8.13,4,8.03,8.03,2,7.92,7.92,6,8.24,8.24
1,10.81,18.68,2,10.88,18.81,5,10.99,19.12,4,10.98,19.01,3,10.92,18.84,6,11.03,19.27
1,9.81,28.49,2,9.88,28.69,4,9.81,28.93,3,9.79,28.80,6,19.27,38.11,5,9.82,29.09
1,10.07,38.56,2,9.98,38.67,4,9.98,38.91,3,9.98,38.78,6,13.59,51.70,5,9.92,39.01
1,10.02,48.58,2,10.10,48.77,4,10.12,49.03,3,10.12,48.90,6,11.59,1:03.29,5,10.12,49.13
1,9.86,58.44,2,9.77,58.54,4,9.76,58.79,3,9.78,58.68,6,11.57,1:14.86,5,9.78,58.91
1,9.60,1:08.04,2,9.61,1:08.15,4,9.53,1:08.32,3,9.58,1:08.26,6,12.76,1:27.62,5,9.66,1:08.57
1,9.50,1:17.54,2,9.49,1:17.64,4,9.55,1:17.87,3,9.51,1:17.77,6,12.10,1:39.72,5,10.02,1:18.59
1,9.43,1:26.97,2,9.44,1:27.08,4,9.44,1:27.31,3,9.43,1:27.20,6,12.09,1:51.81,5,10.45,1:29.04
1,9.46,1:36.43,2,9.50,1:36.58,4,9.50,1:36.81,3,9.59,1:36.79,6,11.53,2:03.34,5,11.17,1:40.21
1,9.56,1:45.99,2,9.59,1:46.17,3,9.47,1:46.28,4,10.00,1:46.79,6,12.33,2:15.67,5,11.30,1:51.51
1,9.47,1:55.46,3,9.66,1:55.83,2,9.51,1:55.79,4,10.68,1:57.47,6,11.58,2:27.25,5,11.48,2:02.99
1,9.55,2:05.01,3,10.04,2:05.87,2,9.40,2:05.19,4,11.07,2:08.54,6,11.70,2:38.95,5,12.05,2:15.04
1,9.86,2:14.863,3,10.44,2:16.302,2,9.95,2:15.132,4,11.46,2:19.998,6,12.44,2:51.386,5,12.08,2:27.113
