Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
3,13.93,13.93,4,14.10,14.10,1,13.68,13.68,2,13.79,13.79
3,10.66,24.59,4,10.65,24.75,1,10.67,24.35,2,10.66,24.45
2,10.16,34.75,4,10.27,35.02,1,10.26,34.61,3,10.33,34.78
1,9.46,44.21,4,9.99,45.01,2,9.79,44.40,3,9.72,44.50
1,9.76,53.97,4,10.33,55.34,2,9.58,53.98,3,9.67,54.17
2,9.73,1:03.70,4,10.95,1:06.29,1,9.64,1:03.62,3,9.64,1:03.81
2,9.79,1:13.49,4,11.42,1:17.71,1,9.75,1:13.37,3,9.78,1:13.59
3,9.87,1:23.36,4,12.15,1:29.86,1,9.81,1:23.18,2,9.65,1:23.24
3,9.98,1:33.339,4,12.76,1:42.614,1,9.97,1:33.150,2,10.00,1:33.235
