Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
0,8.288,8.288,0,8.554,8.554,0,8.781,8.781,0,8.336,8.336,0,8.488,8.488,0,9.275,9.275
0,12.159,20.446,0,11.930,20.484,0,11.949,20.730,0,12.386,20.722,0,11.963,20.450,0,11.411,20.686
0,11.041,31.487,0,10.858,31.342,0,10.813,31.543,0,10.763,31.485,0,10.861,31.311,0,10.534,31.220
0,10.632,42.120,0,10.253,41.594,0,9.948,41.491,0,10.692,42.176,0,10.520,41.831,0,10.355,41.575
0,9.641,51.761,0,9.888,51.482,0,9.851,51.342,0,9.655,51.831,0,9.964,51.796,0,9.846,51.421
0,9.605,1:01.366,0,10.012,1:01.494,0,10.086,1:01.428,0,9.557,1:01.387,0,9.841,1:01.637,0,10.154,1:01.575
0,9.826,1:11.192,0,9.964,1:11.458,0,9.889,1:11.317,0,10.002,1:11.389,0,19.800,1:21.437,0,9.644,1:11.219
0,9.836,1:21.027,0,9.916,1:21.374,0,9.834,1:21.151,0,9.720,1:21.109,0,9.977,1:31.414,0,9.789,1:21.008
0,9.837,1:30.865,0,9.942,1:31.316,0,10.074,1:31.225,0,9.964,1:31.073,0,,,0,15.573,1:36.581
0,10.267,1:41.132,0,9.992,1:41.308,0,10.020,1:41.246,0,10.056,1:41.129,0,,1:41.524,0,20.200,1:56.780
0,9.795,1:50.927,0,9.873,1:51.181,0,10.047,1:51.293,0,9.915,1:51.044,0,10.024,1:51.549,0,12.333,2:09.114
0,9.936,2:00.863,0,9.774,2:00.955,0,9.800,2:01.092,0,9.720,2:00.765,0,9.703,2:01.252,0,13.469,2:22.582
0,9.473,2:10.336,0,9.343,2:10.298,0,10.510,2:11.602,0,9.455,2:10.219,0,9.650,2:10.902,0,12.084,2:34.667
0,,,0,,,0,,,0,,,0,,,0,,
