Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,HARVEY Glen POSITION,HARVEY Glen LAP TIME,HARVEY Glen ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME
2,7.039,7.039,1,6.707,6.707,4,7.463,7.463,3,7.136,7.136
2,9.210,16.249,1,8.934,15.640,4,9.799,17.261,3,9.161,16.296
3,8.978,25.226,1,8.822,24.461,4,9.493,26.754,2,8.731,25.026
3,9.097,34.323,1,9.019,33.480,4,9.593,36.347,2,9.166,34.192
3,9.30,43.618,1,9.58,43.051,4,9.80,46.143,2,9.40,43.584
