Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Anja CHONG POSITION,Anja CHONG LAP TIME,Anja CHONG ELAPSED TIME
2,15.18,15.18,4,15.31,15.31,6,15.54,15.54,3,15.27,15.27,1,15.15,15.15,5,15.43,15.43
1,10.83,26.01,3,10.90,26.21,5,10.75,26.29,3,10.94,26.21,2,10.97,26.12,6,11.03,26.46
2,10.24,36.25,1,9.93,36.14,4,10.10,36.39,4,10.18,36.39,3,10.22,36.34,6,10.12,36.58
2,10.22,46.47,1,10.26,46.40,3,10.18,46.57,5,10.40,46.79,4,10.28,46.62,6,10.53,47.11
4,10.14,56.61,1,10.04,56.44,2,9.97,56.54,5,9.92,56.71,3,9.95,56.57,6,10.21,57.32
5,10.08,1:06.69,1,9.91,1:06.35,3,9.97,1:06.51,4,9.91,1:06.62,2,9.89,1:06.46,6,10.32,1:07.64
3,9.71,1:16.40,1,9.95,1:16.30,4,10.21,1:16.72,5,10.27,1:16.89,2,9.93,1:16.39,6,10.88,1:18.52
3,10.07,1:26.47,1,9.96,1:26.26,5,10.51,1:27.23,4,10.31,1:27.20,2,9.97,1:26.36,6,11.42,1:29.94
3,10.03,1:36.487,1,10.09,1:36.333,5,10.98,1:38.185,4,10.36,1:37.544,2,10.04,1:36.378,6,11.61,1:41.519
