Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
1,7.14,7.14,2,7.21,7.21,3,7.32,7.32,5,7.69,7.69,4,7.39,7.39
1,9.05,16.19,1,8.98,16.19,4,9.23,16.55,5,19.52,27.21,3,8.98,16.37
3,8.71,24.90,1,8.56,24.75,4,8.62,25.17,5,10.79,38.00,2,8.47,24.84
3,8.70,33.60,1,8.56,33.31,4,8.64,33.81,5,9.85,47.85,2,8.59,33.43
3,8.76,42.333,1,8.81,42.111,4,8.91,42.702,5,9.84,57.671,2,8.77,42.176
