Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
6,8.15,8.15,3,7.90,7.90,2,7.83,7.83,7,8.32,8.32,1,7.81,7.81,4,7.92,7.92,5,8.09,8.09
6,10.32,18.47,4,10.39,18.29,5,10.50,18.33,7,10.27,18.59,2,10.42,18.23,3,10.34,18.26,1,10.00,18.09
6,9.86,28.33,3,9.77,28.06,4,9.82,28.15,7,9.82,28.41,2,9.74,27.97,5,10.00,28.26,1,9.77,27.86
5,10.02,38.35,3,10.10,38.16,4,10.12,38.27,7,10.06,38.47,1,10.04,38.01,6,10.11,38.37,2,10.15,38.01
7,9.78,48.13,1,9.46,47.62,5,9.68,47.95,6,9.63,48.10,2,9.69,47.70,4,9.46,47.83,3,9.75,47.76
7,9.84,57.97,2,10.04,57.66,5,9.98,57.93,6,9.85,57.95,1,9.90,57.60,4,9.99,57.82,3,9.93,57.69
6,10.15,1:08.12,3,10.07,1:07.73,5,10.03,1:07.96,7,10.19,1:08.14,1,9.94,1:07.54,4,9.99,1:07.81,2,9.94,1:07.63
6,9.95,1:18.07,3,9.93,1:17.66,5,9.93,1:17.89,7,10.03,1:18.17,1,10.05,1:17.59,4,9.94,1:17.75,2,10.03,1:17.66
7,9.53,1:27.60,1,9.44,1:27.10,5,9.48,1:27.37,6,9.30,1:27.47,2,9.53,1:27.12,3,9.46,1:27.21,4,9.62,1:27.28
6,9.73,1:37.33,1,9.85,1:36.95,7,10.08,1:37.45,5,9.85,1:37.32,2,9.92,1:37.04,3,9.92,1:37.13,4,9.93,1:37.21
7,9.93,1:47.26,3,9.70,1:46.65,6,9.64,1:47.09,5,9.64,1:46.96,1,9.49,1:46.53,2,9.48,1:46.61,4,9.56,1:46.77
6,9.93,1:57.19,4,10.14,1:56.79,5,9.75,1:56.84,7,26.75,2:13.71,1,9.56,1:56.09,2,9.59,1:56.20,3,9.80,1:56.57
6,9.79,2:06.98,4,9.42,2:06.21,5,9.57,2:06.41,7,21.10,2:34.81,1,9.29,2:05.38,2,9.27,2:05.47,3,9.37,2:05.94
6,10.47,2:17.447,4,9.57,2:15.772,5,10.00,2:16.406,7,17.44,2:52.244,1,9.80,2:15.177,2,9.80,2:15.268,3,9.64,2:15.575
