Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,Joshua KAH POSITION,Joshua KAH LAP TIME,Joshua KAH ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Zen Sheng Sian KOH POSITION,Zen Sheng Sian KOH LAP TIME,Zen Sheng Sian KOH ELAPSED TIME
1,13.65,13.65,2,13.78,13.78,5,14.06,14.06,3,13.85,13.85,4,13.95,,6,14.17,14.17
1,10.62,24.27,2,10.51,24.29,5,10.62,24.68,4,10.64,24.49,3,10.46,,6,10.61,24.78
2,10.53,34.80,1,10.40,34.69,5,10.40,35.08,4,10.49,34.98,3,10.49,,6,10.39,35.17
1,9.79,44.59,2,9.94,44.63,5,9.89,44.97,3,9.72,44.70,4,9.99,,6,9.87,45.04
2,9.50,54.09,1,9.32,53.95,4,9.34,54.31,3,9.49,54.19,5,9.55,,6,9.52,54.56
2,9.29,1:03.38,1,9.29,1:03.24,4,9.26,1:03.57,3,9.28,1:03.47,5,9.34,,6,9.32,1:03.88
2,9.08,1:12.46,1,9.08,1:12.32,5,22.34,1:25.91,6,23.87,1:27.34,4,9.54,,3,9.43,1:13.31
2,9.20,1:21.66,1,9.20,1:21.52,6,27.08,1:52.99,5,22.27,1:49.61,4,10.32,,3,9.91,1:23.22
2,9.40,1:31.063,0,9.53,1:31.05,5,16.20,2:09.196,4,14.59,2:04.206,4,11.16,,3,10.30,1:33.529
