Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME
2,13.65,13.65,1,13.63,13.63,3,13.74,13.74,4,13.99,13.99
2,10.41,24.06,1,10.41,24.05,3,10.42,24.16,4,10.31,24.31
2,9.69,33.76,1,9.64,33.69,3,9.79,33.96,4,9.83,34.14
2,9.63,43.40,1,9.55,43.24,3,9.51,43.48,4,9.46,43.61
2,9.49,52.89,1,9.62,52.86,3,9.63,53.11,4,9.78,53.39
2,9.54,1:02.43,1,9.52,1:02.38,3,9.44,1:02.56,4,9.33,1:02.73
3,9.33,1:11.77,1,9.34,1:11.73,2,9.17,1:11.73,4,9.61,1:12.35
3,9.64,1:21.42,1,9.55,1:21.28,2,9.65,1:21.39,4,10.10,1:22.45
2,9.85,1:31.269,3,10.04,1:31.320,1,9.84,1:31.224,4,10.57,1:33.016
