Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME
1,13.410,13.410,2,13.440,13.440,3,13.460,13.460,4,13.780,13.780
2,10.240,23.650,3,10.400,23.840,1,10.170,23.630,4,10.290,24.070
1,9.880,33.540,3,9.780,33.620,2,9.920,33.550,4,10.050,34.130
2,10.160,43.700,3,10.170,43.800,1,10.090,43.650,4,10.120,44.250
2,9.940,53.640,3,9.860,53.660,1,9.960,53.610,4,10.440,54.700
1,9.770,1:03.420,3,9.900,1:03.570,2,9.920,1:03.540,4,10.560,1:05.260
2,10.190,1:13.610,3,10.110,1:13.690,1,9.950,1:13.500,4,11.020,1:16.290
2,10.450,1:24.070,1,10.080,1:23.770,3,10.730,1:24.230,4,11.410,1:27.700
3,10.790,1:34.870,1,10.260,1:34.030,2,10.600,1:34.830,4,11.900,1:39.600
