J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,12.51,12.51,2,12.59,12.59,4,12.73,12.73,3,12.71,12.71
1,9.69,22.20,4,18.88,31.47,2,9.62,22.35,3,9.66,22.37
2,9.35,31.55,4,16.20,47.67,1,9.18,31.53,3,9.37,31.74
2,9.26,40.81,4,12.57,1:00.24,1,9.21,40.74,3,9.09,40.83
2,9.28,50.09,4,10.67,1:10.91,1,9.27,50.01,3,9.43,50.26
2,9.27,59.36,4,10.67,1:21.58,1,9.26,59.27,3,9.21,59.47
2,9.07,1:08.43,4,11.36,1:32.94,1,9.13,1:08.40,3,9.11,1:08.58
1,8.87,1:17.30,4,11.74,1:44.68,2,9.12,1:17.52,3,9.05,1:17.63
1,8.97,1:26.263,3,12.04,1:56.712,2,9.70,1:27.213,0,,PEN
