CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME
1,7.42,7.42,4,7.96,7.96,2,7.55,7.55,3,7.72,7.72,5,8.31,8.31
1,9.46,16.88,4,9.65,17.61,3,9.44,16.99,2,9.26,16.98,5,10.08,18.39
1,8.94,25.82,4,9.13,26.74,3,9.04,26.03,2,8.85,25.83,5,9.58,27.97
2,9.18,35.00,4,9.38,36.12,3,9.09,35.12,1,9.01,34.84,5,9.74,37.71
2,9.17,44.17,4,9.71,45.83,3,9.22,44.34,1,9.19,44.03,5,9.99,47.70
