Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,14.29,14.29,3,14.40,14.40,2,14.37,14.37,4,14.64,14.64
1,11.27,25.56,3,11.36,25.76,2,11.27,25.64,4,11.27,25.91
1,10.34,35.90,2,10.16,35.92,3,10.43,36.07,4,10.26,36.17
1,9.65,45.55,2,9.74,45.66,3,9.69,45.76,4,9.78,45.95
1,9.40,54.95,2,9.36,55.02,3,9.37,55.13,4,33.43,1:19.38
1,9.07,1:04.02,2,9.12,1:04.14,3,9.19,1:04.32,4,17.16,1:36.54
2,9.12,1:13.14,1,8.99,1:13.13,3,9.12,1:13.44,4,11.81,1:48.35
2,9.31,1:22.45,1,8.99,1:22.12,3,9.22,1:22.66,4,11.00,1:59.35
2,9.30,1:31.741,1,9.20,1:31.314,3,9.70,1:32.359,4,11.16,2:10.501
