Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
1,6.32,6.32,3,6.78,6.78,2,6.76,6.76,4,6.96,6.96
3,14.36,20.68,1,9.10,15.89,4,30.30,37.07,2,9.08,16.04
3,9.30,29.99,1,8.56,24.46,4,15.61,52.68,2,8.97,25.02
3,9.34,39.33,1,8.62,33.09,4,14.38,1:07.07,2,8.98,34.00
3,9.86,49.189,1,9.24,42.323,0,,DQ,2,9.56,43.552
