Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Helen HADDERS POSITION,Helen HADDERS LAP TIME,Helen HADDERS ELAPSED TIME,Mariann NAGY POSITION,Mariann NAGY LAP TIME,Mariann NAGY ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME
4,10.264,10.264,5,10.417,10.417,6,10.474,10.474,3,10.206,10.206,1,10.099,10.099,2,10.205,10.205
4,15.555,25.819,5,15.446,25.862,6,15.536,26.010,1,14.935,25.141,3,15.357,25.456,2,15.207,25.411
4,13.274,39.093,5,13.356,39.218,6,13.373,39.382,1,13.411,38.551,3,13.406,38.861,2,13.438,38.849
4,13.132,52.224,5,13.102,52.320,6,13.167,52.548,1,13.213,51.763,3,13.146,52.006,2,13.128,51.977
4,12.597,1:04.821,5,12.583,1:04.903,6,12.579,1:05.127,1,12.669,1:04.431,3,12.672,1:04.678,2,12.662,1:04.639
4,11.859,1:16.680,6,12.177,1:17.079,5,11.762,1:16.889,1,12.031,1:16.461,3,11.965,1:16.643,2,12.003,1:16.642
3,10.754,1:27.433,6,10.653,1:27.732,5,10.806,1:27.695,2,10.889,1:27.350,4,10.829,1:27.471,1,10.620,1:27.262
4,10.417,1:37.849,6,10.418,1:38.149,2,10.108,1:37.802,5,10.757,1:38.106,3,10.375,1:37.846,1,10.479,1:37.740
2,10.837,1:48.686,6,10.722,1:48.871,3,10.936,1:48.737,5,10.729,1:48.834,4,10.937,1:48.783,1,10.921,1:48.661
2,10.942,1:59.627,5,11.127,1:59.998,1,10.824,1:59.560,3,10.870,1:59.704,6,11.217,2:00.000,4,11.064,1:59.725
3,10.584,2:10.211,4,10.345,2:10.343,1,10.386,2:09.946,6,10.880,2:10.583,5,10.490,2:10.489,2,10.390,2:10.114
3,10.215,2:20.425,4,10.475,2:20.817,1,10.148,2:20.093,6,10.800,2:21.382,5,10.449,2:20.937,2,10.027,2:20.141
3,10.378,2:30.803,4,10.370,2:31.187,1,9.901,2:29.994,6,11.115,2:32.497,5,10.809,2:31.746,2,9.925,2:30.065
3,10.90,2:41.703,0,,DQ,1,10.12,2:40.110,5,11.99,2:44.484,4,11.29,2:43.028,2,10.13,2:40.186
