Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
3,14.52,14.52,4,14.68,14.68,1,14.21,14.21,2,14.32,14.32,5,14.82,14.82
3,11.16,25.68,4,11.13,25.81,1,11.13,25.34,2,11.17,25.49,5,11.11,25.93
3,10.38,36.06,4,10.43,36.24,1,10.46,35.80,2,10.43,35.92,5,10.44,36.37
3,9.73,45.79,4,9.78,46.02,2,9.84,45.64,1,9.62,45.54,5,9.82,46.19
3,9.62,55.41,4,9.55,55.57,2,9.60,55.24,1,9.62,55.16,5,9.54,55.73
3,9.44,1:04.85,4,9.63,1:05.20,2,9.53,1:04.77,1,9.51,1:04.67,5,9.57,1:05.30
3,9.43,1:14.28,5,9.82,1:15.02,2,9.33,1:14.10,1,9.32,1:13.99,4,9.64,1:14.94
3,9.05,1:23.33,4,10.10,1:25.12,2,9.20,1:23.30,1,9.16,1:23.15,5,10.43,1:25.37
2,9.06,1:32.388,4,10.46,1:35.576,3,9.25,1:32.547,1,9.10,1:32.245,5,10.45,1:35.816
