GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME
3,12.66,12.66,2,12.57,12.57,4,12.73,12.73,1,12.50,12.50,6,12.88,12.88,5,12.77,12.77
4,9.64,22.30,3,9.64,22.21,2,9.41,22.14,1,9.56,22.06,5,9.51,22.39,6,9.68,22.45
4,9.31,31.61,2,9.25,31.46,3,9.33,31.47,1,9.32,31.38,5,9.32,31.71,6,9.39,31.84
4,9.05,40.66,2,9.01,40.47,3,9.09,40.56,1,9.00,40.38,5,9.07,40.78,6,9.05,40.89
4,9.14,49.80,2,9.14,49.61,3,9.17,49.73,1,9.21,49.59,6,9.21,49.99,5,9.03,49.92
4,8.96,58.76,1,8.92,58.53,3,8.93,58.66,2,9.05,58.64,6,9.12,59.11,5,8.97,58.89
3,8.90,1:07.66,1,8.91,1:07.44,4,9.01,1:07.67,2,8.90,1:07.54,6,9.08,1:08.19,5,8.94,1:07.83
3,9.02,1:16.68,1,9.03,1:16.47,4,9.12,1:16.79,2,9.07,1:16.61,6,9.26,1:17.45,5,9.09,1:16.92
5,9.49,1:26.151,1,9.15,1:25.62,3,9.17,1:25.939,2,9.32,1:25.93,6,9.61,1:27.050,4,9.20,1:26.110
