VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
1,13.74,13.74,2,13.88,13.88,4,14.08,14.08,5,14.20,14.20,2,13.88,13.88
2,10.28,24.02,1,10.05,23.93,5,10.32,24.40,4,10.05,24.25,3,10.23,24.11
3,10.08,34.10,1,10.00,33.93,5,9.97,34.37,4,10.01,34.26,2,9.93,34.04
3,9.79,43.89,1,9.76,43.69,5,9.92,44.29,4,9.80,44.06,2,9.76,43.80
3,9.68,53.57,1,9.68,53.37,5,10.23,54.52,4,9.67,53.73,2,9.68,53.48
3,9.63,1:03.20,1,9.62,1:02.99,5,10.76,1:05.28,4,9.66,1:03.39,2,9.61,1:03.09
3,9.66,1:12.86,1,9.65,1:12.64,5,11.41,1:16.69,4,9.70,1:13.09,2,9.65,1:12.74
3,9.82,1:22.68,1,9.82,1:22.46,5,12.11,1:28.80,4,10.03,1:23.12,2,9.84,1:22.58
3,9.90,1:32.58,1,9.93,1:32.39,5,12.39,1:41.19,4,10.50,1:33.62,2,9.92,1:32.50
