Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
3,10.69,10.69,2,10.60,10.60,1,10.47,10.47,5,10.84,10.84,4,10.78,10.78
3,15.39,26.08,2,15.33,25.93,1,15.33,25.80,4,15.38,26.22,5,15.61,26.39
3,14.16,40.24,2,14.17,40.10,1,14.18,39.98,4,14.18,40.40,5,14.19,40.58
3,13.49,53.73,2,13.49,53.59,1,13.53,53.51,5,13.47,53.87,4,13.19,53.77
4,11.41,1:05.14,3,11.42,1:05.01,2,11.39,1:04.90,5,11.37,1:05.24,1,11.00,1:04.77
4,10.98,1:16.12,3,10.97,1:15.98,2,10.98,1:15.88,5,10.97,1:16.21,1,10.99,1:15.76
5,10.10,1:26.22,2,10.01,1:25.99,1,10.03,1:25.91,4,10.00,1:26.21,3,10.27,1:26.03
4,10.03,1:36.25,2,10.02,1:36.01,1,10.02,1:35.93,3,9.91,1:36.12,5,10.37,1:36.40
4,10.20,1:46.45,2,10.18,1:46.19,1,10.18,1:46.11,3,10.19,1:46.31,5,10.21,1:46.61
4,10.05,1:56.50,2,10.06,1:56.25,1,10.06,1:56.17,3,10.06,1:56.37,5,10.04,1:56.65
4,9.84,2:06.34,2,9.86,2:06.11,1,9.87,2:06.04,3,9.88,2:06.25,5,9.81,2:06.46
4,9.83,2:16.17,2,9.84,2:15.95,1,9.89,2:15.93,3,9.80,2:16.05,5,9.90,2:16.36
4,9.90,2:26.07,1,9.67,2:25.62,3,9.86,2:25.79,2,9.57,2:25.62,5,9.91,2:26.27
4,9.96,2:36.025,2,9.65,2:35.263,3,9.63,2:35.411,1,9.50,2:35.118,5,10.05,2:36.313
