Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,SHA Kexin POSITION,SHA Kexin LAP TIME,SHA Kexin ELAPSED TIME,Aydin DJEMAL POSITION,Aydin DJEMAL LAP TIME,Aydin DJEMAL ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME,Tom RIETZKE POSITION,Tom RIETZKE LAP TIME,Tom RIETZKE ELAPSED TIME
1,9.02,9.02,4,9.27,9.27,2,9.12,9.12,3,9.23,9.23,6,9.44,9.44,5,9.28,9.28,7,9.52,9.52
3,12.88,21.90,1,12.55,21.82,4,12.83,21.95,6,12.86,22.09,7,12.81,22.25,5,12.73,22.01,2,12.33,21.85
5,11.41,33.31,3,11.29,33.11,4,11.26,33.21,6,11.31,33.40,7,11.26,33.51,2,10.98,32.99,1,11.04,32.89
5,10.80,44.11,3,10.76,43.87,6,10.91,44.12,1,10.41,43.81,7,10.78,44.29,4,10.92,43.91,1,10.92,43.81
2,9.57,53.68,3,9.88,53.75,6,9.94,54.06,1,9.77,53.58,7,9.90,54.19,5,10.05,53.96,4,10.05,53.86
2,9.88,1:03.56,3,9.90,1:03.65,5,9.69,1:03.75,1,9.87,1:03.45,7,9.81,1:04.00,6,9.83,1:03.79,4,9.88,1:03.74
3,10.17,1:13.73,2,10.03,1:13.68,4,10.03,1:13.78,1,10.18,1:13.63,7,10.22,1:14.22,6,10.31,1:14.10,5,10.14,1:13.88
3,9.57,1:23.30,1,9.49,1:23.17,2,9.46,1:23.24,4,9.70,1:23.33,7,9.58,1:23.80,6,9.60,1:23.70,5,9.67,1:23.55
3,9.45,1:32.75,1,9.39,1:32.56,2,9.42,1:32.66,4,9.54,1:32.87,6,9.48,1:33.28,7,9.76,1:33.46,5,9.46,1:33.01
3,9.39,1:42.14,1,9.34,1:41.90,2,9.38,1:42.04,4,9.43,1:42.30,6,9.59,1:42.87,7,10.07,1:43.53,5,9.43,1:42.44
2,9.02,1:51.16,1,9.22,1:51.12,3,9.32,1:51.36,5,9.53,1:51.83,6,9.92,1:52.79,7,10.50,1:54.03,4,9.22,1:51.66
1,8.99,2:00.15,2,9.11,2:00.23,3,9.59,2:00.95,5,9.77,2:01.60,6,10.33,2:03.12,7,11.04,2:05.07,4,9.39,2:01.05
1,9.12,2:09.27,2,9.12,2:09.35,3,10.07,2:11.02,5,10.26,2:11.86,6,10.79,2:13.91,7,11.50,2:16.57,4,10.14,2:11.19
1,9.43,2:18.673,2,9.48,2:18.810,4,10.28,2:21.273,5,10.59,2:22.430,6,11.45,2:25.335,7,11.97,2:28.513,3,9.84,2:21.009
