ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Hailey CHOI POSITION,Hailey CHOI LAP TIME,Hailey CHOI ELAPSED TIME
1,13.43,13.43,4,13.82,13.82,2,13.57,13.57,3,13.70,13.70
1,10.61,24.04,3,10.43,24.25,2,10.59,24.16,4,10.58,24.28
1,10.72,34.76,2,10.60,34.85,2,10.69,34.85,4,10.74,35.02
1,10.50,45.26,2,10.50,45.35,3,10.55,45.40,4,10.49,45.51
2,10.09,55.35,3,10.09,55.44,1,9.84,55.24,4,10.01,55.52
3,10.11,1:05.46,2,9.94,1:05.38,1,10.02,1:05.26,4,10.07,1:05.59
2,9.68,1:15.14,3,9.78,1:15.16,1,9.79,1:15.05,4,9.78,1:15.37
2,9.58,1:24.72,3,9.75,1:24.91,1,9.65,1:24.70,4,9.67,1:25.04
1,9.53,1:34.25,3,9.73,1:34.64,2,9.67,1:34.37,4,9.70,1:34.74
