Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
1,6.72,6.72,2,6.94,6.94,3,7.05,7.05,4,7.25,7.25,5,7.39,7.39
1,8.89,15.61,2,8.82,15.76,3,8.80,15.85,4,8.92,16.17,5,8.97,16.36
1,8.68,24.29,2,8.66,24.42,2,8.57,24.42,4,8.59,24.76,5,8.72,25.08
1,8.90,33.19,3,8.95,33.37,2,8.85,33.27,4,8.81,33.57,5,8.84,33.92
2,,42.510,3,,42.533,1,9.08,42.342,4,9.01,42.567,5,9.11,43.019
