SONG Haochen POSITION,SONG Haochen LAP TIME,SONG Haochen ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME
3,13.95,13.95,1,13.71,13.71,2,13.81,,4,14.07,14.07
4,10.98,24.93,1,10.92,24.63,2,10.92,,3,10.84,24.91
2,9.85,34.78,1,10.07,34.70,3,10.06,,4,10.05,34.96
2,10.04,44.82,1,10.00,44.70,3,10.13,,4,10.05,45.01
3,9.67,54.49,1,9.64,54.34,2,9.52,,4,9.63,54.64
1,8.93,1:03.42,2,9.12,1:03.46,3,9.16,,4,9.09,1:03.73
1,9.05,1:12.47,2,9.12,1:12.58,3,9.11,,4,9.10,1:12.83
1,9.21,1:21.68,3,9.27,1:21.85,2,9.13,,4,9.22,1:22.05
3,10.18,1:31.86,1,9.72,1:31.57,4,35.68,,2,9.55,1:31.581
