LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
2,13.34,13.34,1,13.26,13.26,4,13.58,13.58,3,13.37,13.37
3,9.95,23.29,2,9.93,23.19,4,9.86,23.44,1,9.64,23.01
3,9.68,32.97,1,9.58,32.77,4,9.70,33.14,2,9.92,32.93
2,9.55,42.52,1,9.65,42.42,4,9.62,42.76,3,9.71,42.64
2,9.90,52.42,1,9.88,52.30,4,9.91,52.67,3,9.91,52.55
2,10.08,1:02.50,1,10.04,1:02.34,4,10.08,1:02.75,3,10.08,1:02.63
2,9.94,1:12.44,1,9.96,1:12.30,4,10.03,1:12.78,3,9.96,1:12.59
2,9.63,1:22.07,1,9.69,1:21.99,4,9.95,1:22.73,3,9.60,1:22.19
2,9.96,1:32.025,1,9.90,1:31.888,4,10.55,1:33.277,3,10.08,1:32.261
