Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
1,8.97,8.97,2,9.02,9.02,4,9.36,9.36,3,9.19,9.19,5,9.49,9.49
1,12.93,21.90,2,12.98,22.00,4,12.88,22.24,3,12.93,22.12,5,12.86,22.35
1,12.73,34.63,2,12.74,34.74,4,12.70,34.94,3,12.72,34.84,5,12.71,35.06
1,12.35,46.98,2,12.31,47.05,4,12.37,47.31,3,12.34,47.18,5,12.38,47.44
1,11.45,58.43,2,11.45,58.50,5,11.40,58.71,3,11.42,58.60,4,11.16,58.60
1,11.10,1:09.53,2,11.11,1:09.61,5,11.23,1:09.94,4,11.24,1:09.84,3,11.11,1:09.71
1,11.29,1:20.82,2,11.33,1:20.94,5,11.32,1:21.26,4,11.34,1:21.18,3,11.34,1:21.05
1,11.14,1:31.96,2,11.12,1:32.06,5,11.16,1:32.42,4,11.08,1:32.26,3,11.01,1:32.06
1,10.14,1:42.10,3,10.29,1:42.35,5,10.08,1:42.50,4,10.19,1:42.45,2,10.18,1:42.24
1,10.05,1:52.15,4,9.97,1:52.32,3,9.77,1:52.27,5,9.88,1:52.33,2,9.99,1:52.23
2,10.07,2:02.22,5,10.26,2:02.58,1,9.69,2:01.96,4,10.12,2:02.45,3,10.11,2:02.34
3,10.35,2:12.57,5,10.06,2:12.64,1,10.13,2:12.09,2,10.05,2:12.50,4,10.24,2:12.58
4,10.85,2:23.42,5,11.03,2:23.67,1,10.27,2:22.36,2,9.99,2:22.49,3,10.11,2:22.69
4,11.36,2:34.771,5,11.16,2:34.830,1,10.44,2:32.797,2,10.38,2:32.863,3,10.36,2:33.046
