Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME
1,14.01,14.01,3,14.21,14.21,2,14.12,14.12,4,14.24,14.24
3,10.67,24.68,4,10.62,24.83,2,10.45,24.57,1,10.13,24.37
3,9.56,34.24,4,9.50,34.33,2,9.59,34.16,1,9.68,34.05
3,9.40,43.64,4,9.38,43.71,2,9.41,43.57,1,9.43,43.48
2,9.14,52.78,4,9.16,52.87,1,9.13,52.70,3,9.31,52.79
2,8.82,1:01.60,3,8.82,1:01.69,1,8.83,1:01.53,4,9.33,1:02.12
3,8.67,1:10.27,2,8.56,1:10.25,1,8.65,1:10.18,4,9.43,1:11.55
3,8.75,1:19.02,2,8.58,1:18.83,1,8.55,1:18.73,4,9.71,1:21.26
3,8.86,1:27.875,2,8.63,1:27.452,1,8.69,1:27.419,4,9.98,1:31.236
