Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
1,6.880,6.880,0,,,2,7.120,7.120
2,9.170,16.060,1,0.000,16.040,3,9.130,16.250
1,8.740,24.800,2,8.910,24.960,3,8.850,25.110
1,8.860,33.670,2,8.770,33.730,3,8.720,33.840
2,9.120,42.800,1,8.980,42.720,3,9.300,43.140
