KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,6.86,6.86,2,7.00,7.00,3,7.10,7.10,4,7.22,7.22
1,8.92,15.78,2,8.91,15.91,3,8.84,15.94,4,8.87,16.09
1,8.52,24.30,2,8.48,24.39,4,8.74,24.68,3,8.40,24.49
1,8.83,33.13,2,8.76,33.15,4,8.66,33.34,3,8.68,33.17
3,9.48,42.607,1,8.86,42.004,0,,PEN,2,9.43,42.594
