Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME
1,9.50,9.50,2,9.62,9.62,5,9.93,9.93,6,10.02,10.02,4,9.82,9.82,3,9.66,9.66
1,15.02,24.52,2,15.04,24.66,5,15.16,25.09,6,15.22,25.24,4,15.11,24.93,3,15.14,24.80
1,14.11,38.63,2,14.09,38.75,5,14.11,39.20,6,14.08,39.32,4,14.14,39.07,3,14.15,38.95
1,13.81,52.44,2,13.77,52.52,4,13.42,52.62,6,13.50,52.82,3,13.48,52.55,5,13.74,52.69
3,11.47,1:03.91,1,11.26,1:03.78,4,11.42,1:04.04,6,11.38,1:04.20,2,11.28,1:03.83,5,11.41,1:04.10
3,11.13,1:15.04,1,11.05,1:14.83,4,11.10,1:15.14,6,11.09,1:15.29,2,11.10,1:14.93,5,11.10,1:15.20
3,11.35,1:26.39,1,11.31,1:26.14,4,11.35,1:26.49,6,11.40,1:26.69,2,11.37,1:26.30,5,11.40,1:26.60
3,10.87,1:37.26,1,10.93,1:37.07,4,10.98,1:37.47,6,10.97,1:37.66,2,10.84,1:37.14,5,10.99,1:37.59
3,10.33,1:47.59,1,10.32,1:47.39,4,10.21,1:47.68,6,10.18,1:47.84,2,10.36,1:47.50,5,10.19,1:47.78
3,10.38,1:57.97,1,10.39,1:57.78,4,10.40,1:58.08,6,10.46,1:58.30,2,10.38,1:57.88,5,10.38,1:58.16
5,10.04,2:08.01,1,10.09,2:07.87,3,9.85,2:07.93,6,9.81,2:08.11,2,9.99,2:07.87,4,9.82,2:07.98
5,9.96,2:17.97,4,9.96,2:17.83,2,9.67,2:17.60,6,9.96,2:18.07,1,9.61,2:17.48,3,9.76,2:17.74
5,10.02,2:27.99,4,9.98,2:27.81,1,9.97,2:27.57,6,10.03,2:28.10,2,10.11,2:27.59,3,9.93,2:27.67
5,10.23,2:38.217,4,10.02,2:37.829,1,9.92,2:37.488,6,10.18,2:38.275,2,10.08,2:37.669,3,10.02,2:37.690
