Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Laurie MARCEAU POSITION,Laurie MARCEAU LAP TIME,Laurie MARCEAU ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
1,7.87,7.87,3,7.99,7.99,2,7.92,7.92,6,8.50,8.50,4,8.36,8.36,5,8.38,8.38
2,11.78,19.65,1,11.38,19.37,3,11.76,19.69,6,11.55,20.06,4,11.38,19.75,5,11.40,19.78
5,10.56,30.22,1,10.38,29.76,3,10.42,30.12,6,10.38,30.44,4,10.38,30.13,2,10.00,29.78
5,10.45,40.67,1,10.35,40.12,4,10.47,40.59,6,10.36,40.80,3,10.40,40.53,2,10.50,40.29
4,10.28,50.96,1,10.17,50.30,3,10.05,50.64,6,10.33,51.14,5,10.45,50.98,2,10.34,50.63
2,10.05,1:01.01,1,10.69,1:00.99,4,10.43,1:01.07,6,10.25,1:01.39,5,10.09,1:01.08,3,10.39,1:01.02
2,9.93,1:10.95,5,10.04,1:11.03,4,9.92,1:11.00,6,9.99,1:11.38,1,9.82,1:10.90,3,9.94,1:10.96
5,10.40,1:21.35,2,10.08,1:21.11,4,10.13,1:21.14,6,10.10,1:21.49,3,10.21,1:21.11,1,10.06,1:21.03
4,9.89,1:31.25,2,9.94,1:31.06,5,10.29,1:31.43,6,10.07,1:31.57,3,10.05,1:31.17,1,9.80,1:30.84
4,10.19,1:41.45,1,10.15,1:41.21,5,10.12,1:41.55,6,10.15,1:41.72,3,10.21,1:41.38,2,10.37,1:41.21
4,10.11,1:51.56,1,10.10,1:51.31,5,10.20,1:51.76,6,10.16,1:51.89,3,10.11,1:51.50,2,10.18,1:51.39
3,9.96,2:01.53,1,9.97,2:01.28,5,10.10,2:01.86,4,9.86,2:01.76,2,10.01,2:01.51,6,10.55,2:01.95
2,9.90,2:11.43,1,10.05,2:11.34,5,10.39,2:12.25,4,9.83,2:11.59,3,9.98,2:11.50,6,10.31,2:12.27
3,10.16,2:21.586,2,10.14,2:21.480,5,10.73,2:22.980,1,9.49,2:21.081,4,10.11,2:21.605,6,11.29,2:23.554
