Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
4,14.04,14.04,1,13.63,13.63,2,13.77,13.77,3,13.89,13.89
4,11.25,25.29,1,11.21,24.84,2,11.25,25.02,3,11.28,25.17
4,10.12,35.41,2,10.38,35.22,1,10.10,35.12,3,10.16,35.33
4,9.99,45.40,3,10.05,45.27,1,10.07,45.19,2,9.87,45.20
3,9.40,54.80,4,9.61,54.88,2,9.51,54.70,1,9.42,54.62
4,9.52,1:04.32,3,9.36,1:04.24,2,9.37,1:04.07,1,9.37,1:03.99
3,9.02,1:13.34,4,9.24,1:13.48,2,9.15,1:13.22,1,9.14,1:13.13
3,8.97,1:22.31,4,9.04,1:22.52,2,8.99,1:22.21,1,8.99,1:22.12
2,8.86,1:31.164,4,9.07,1:31.585,3,9.27,1:31.480,1,8.96,1:31.076
