Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME
1,12.63,12.63,2,12.99,12.99,3,13.10,13.10,4,13.11,13.11
1,10.27,22.90,4,10.34,23.33,2,10.17,23.27,3,10.19,23.30
1,9.77,32.67,2,9.66,32.99,3,9.86,33.13,4,9.87,33.17
1,10.04,42.71,2,9.85,42.84,3,9.72,42.85,4,9.75,42.92
1,9.55,52.26,2,9.80,52.64,3,9.81,52.66,4,9.89,52.81
4,10.29,1:02.55,1,9.53,1:02.17,2,9.66,1:02.32,3,9.59,1:02.40
1,8.84,1:11.39,2,9.41,1:11.58,3,9.28,1:11.60,4,9.30,1:11.70
1,9.10,1:20.49,3,9.26,1:20.84,2,9.15,1:20.75,4,9.34,1:21.04
1,9.61,1:30.097,2,9.33,1:30.164,3,9.50,1:30.246,4,9.32,1:30.360
