Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,Ashwin Calen DSILVA POSITION,Ashwin Calen DSILVA LAP TIME,Ashwin Calen DSILVA ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
1,8.17,8.17,4,8.53,8.53,7,8.89,,3,8.40,8.40,2,8.26,8.26,6,8.74,8.74,5,8.64,8.64
1,10.41,18.58,6,10.37,18.90,7,10.27,,3,10.35,18.75,2,10.39,18.65,5,10.14,18.88,4,10.19,18.83
1,9.86,28.44,6,10.22,29.12,7,10.11,,3,9.96,28.71,2,9.92,28.57,5,10.07,28.95,4,10.01,28.84
1,9.76,38.20,6,9.65,38.77,7,9.68,,3,9.75,38.46,2,9.78,38.35,5,9.72,38.67,4,9.73,38.57
1,9.70,47.90,6,9.61,48.38,7,9.67,,3,9.61,48.07,2,9.63,47.98,5,9.60,48.27,4,9.59,48.16
4,9.94,57.84,6,9.73,58.11,7,9.74,,1,9.67,57.74,3,9.85,57.83,5,9.69,57.96,2,9.65,57.81
6,10.31,1:08.15,5,9.95,1:08.06,7,10.19,,2,9.88,1:07.62,4,10.11,1:07.94,3,9.81,1:07.77,1,9.77,1:07.58
6,9.74,1:17.89,5,9.71,1:17.77,7,10.45,,2,9.65,1:17.27,4,9.64,1:17.58,3,9.64,1:17.41,1,9.57,1:17.15
6,9.65,1:27.54,5,9.58,1:27.35,7,11.05,,2,9.65,1:26.92,4,9.59,1:27.17,3,9.63,1:27.04,1,9.68,1:26.83
6,9.75,1:37.29,5,9.76,1:37.11,7,11.36,,2,9.56,1:36.48,4,9.73,1:36.90,3,9.56,1:36.60,1,9.54,1:36.37
6,9.97,1:47.26,5,10.01,1:47.12,7,12.19,,2,9.47,1:45.95,4,9.80,1:46.70,3,9.59,1:46.19,1,9.56,1:45.93
5,10.19,1:57.45,6,10.51,1:57.63,7,13.45,,1,9.34,1:55.29,4,10.14,1:56.84,3,9.52,1:55.71,2,9.47,1:55.40
5,10.64,2:08.09,6,10.66,2:08.29,7,13.22,,1,9.25,2:04.54,4,10.47,2:07.31,3,9.83,2:05.54,2,9.26,2:04.66
6,10.83,2:18.92,5,10.49,2:18.78,7,13.59,2:33.86,1,9.31,2:13.85,4,10.77,2:18.08,3,10.30,2:15.84,2,9.30,2:13.96
