Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME
1,6.90,6.90,2,6.98,6.98,3,7.10,7.10,4,7.25,7.25
1,9.08,15.98,2,9.11,16.09,3,8.99,16.09,4,9.22,16.47
3,8.81,24.80,1,8.39,24.49,4,8.95,25.05,2,8.18,24.66
2,8.69,33.49,1,8.87,33.37,4,8.76,33.81,3,8.96,33.63
2,9.07,42.555,1,8.84,42.209,4,9.15,42.958,3,9.03,42.659
