Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
2,7.17,7.17,1,7.03,7.03,4,7.34,7.34,3,7.33,7.33
2,9.26,16.43,1,9.34,16.37,4,9.44,16.78,3,9.35,16.68
1,8.54,24.97,2,8.73,25.10,4,8.72,25.50,3,8.67,25.35
1,8.76,33.73,2,8.72,33.82,4,8.74,34.24,3,8.69,34.04
1,8.95,42.671,2,8.91,42.724,4,9.04,43.272,3,8.84,42.875
