Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME
3,15.32,15.32,1,14.84,14.84,4,15.49,15.49,2,15.25,15.25
2,12.21,27.53,1,12.64,27.48,3,12.29,27.78,4,12.57,27.82
2,10.97,38.50,1,10.99,38.47,3,10.96,38.74,4,11.13,38.95
1,10.49,48.99,2,10.55,49.02,3,10.49,49.23,4,10.47,49.42
1,10.02,59.01,2,10.15,59.17,3,10.15,59.38,4,10.12,59.54
2,10.46,1:09.47,1,10.28,1:09.45,3,10.33,1:09.71,4,10.28,1:09.82
2,9.87,1:19.34,1,9.84,1:19.29,3,9.66,1:19.37,4,9.76,1:19.58
3,9.64,1:28.98,1,9.48,1:28.77,2,9.59,1:28.96,4,9.60,1:29.18
4,38.14,2:07.111,2,10.31,1:39.079,1,9.81,1:38.769,3,9.95,1:39.122
