Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME
3,7.88,7.88,4,7.99,7.99,1,7.79,7.79,5,8.17,8.17,6,8.41,8.41,2,7.86,7.86
3,11.18,19.06,4,11.17,19.16,2,11.18,18.97,5,11.12,19.29,6,10.98,19.39,1,10.97,18.83
3,11.07,30.13,5,11.13,30.29,1,10.98,29.95,6,11.11,30.40,4,10.88,30.27,2,11.18,30.01
1,10.27,40.40,5,10.59,40.88,2,10.59,40.54,6,10.65,41.05,4,10.50,40.77,3,10.64,40.65
1,10.60,51.00,5,10.45,51.33,2,10.55,51.09,6,10.42,51.47,4,10.49,51.26,3,10.52,51.17
3,10.67,1:01.67,1,10.20,1:01.53,2,10.46,1:01.55,6,10.59,1:02.06,5,10.64,1:01.90,4,10.63,1:01.80
3,9.90,1:11.57,1,9.83,1:11.36,2,9.89,1:11.44,6,9.83,1:11.89,4,9.78,1:11.68,5,9.95,1:11.75
3,10.45,1:22.02,2,10.48,1:21.84,1,10.35,1:21.79,6,10.47,1:22.36,4,10.44,1:22.12,5,10.46,1:22.21
4,9.20,1:31.22,2,9.02,1:30.86,1,9.00,1:30.79,6,9.11,1:31.47,3,8.92,1:31.04,5,9.15,1:31.36
5,9.85,1:41.07,2,9.48,1:40.34,1,9.45,1:40.24,6,9.62,1:41.09,3,9.50,1:40.54,4,9.62,1:40.98
6,10.28,1:51.35,2,9.37,1:49.71,1,9.35,1:49.59,5,10.14,1:51.23,3,9.31,1:49.85,4,10.10,1:51.08
6,10.45,2:01.80,2,9.43,1:59.14,1,9.40,1:58.99,5,10.22,2:01.45,3,9.39,1:59.24,4,10.25,2:01.33
6,10.78,2:12.58,2,9.89,2:09.03,1,9.55,2:08.54,4,10.49,2:11.94,3,9.84,2:09.08,5,10.68,2:12.01
5,11.32,2:23.892,2,10.72,2:19.748,1,10.11,2:18.647,3,10.55,2:22.481,0,,PEN,4,11.29,2:23.292
