Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,SON Soo-Min POSITION,SON Soo-Min LAP TIME,SON Soo-Min ELAPSED TIME,Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
2,13.10,13.10,4,13.27,13.27,1,13.08,13.08,3,13.18,13.18
3,10.01,23.11,4,9.84,23.11,2,9.90,22.98,1,9.71,22.89
4,9.98,33.09,3,9.94,33.05,2,9.96,32.94,1,9.95,32.84
4,9.93,43.02,3,9.88,42.93,2,9.87,42.81,1,9.88,42.72
4,9.91,52.93,3,9.90,52.83,2,9.92,52.73,1,9.93,52.65
4,9.98,1:02.91,3,9.95,1:02.78,2,9.94,1:02.67,1,9.93,1:02.58
4,9.84,1:12.75,3,9.86,1:12.64,2,9.88,1:12.55,1,9.88,1:12.46
4,9.89,1:22.64,3,9.88,1:22.52,2,9.85,1:22.40,1,9.87,1:22.33
4,10.08,1:32.718,3,9.95,1:32.465,2,9.99,1:32.390,1,9.99,1:32.312
