PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
3,7.16,7.16,1,6.87,6.87,4,7.23,7.23,2,6.98,6.98
2,9.17,16.33,1,9.05,15.92,3,9.15,16.38,4,17.54,24.52
2,8.59,24.92,1,8.66,24.58,3,8.70,25.08,4,21.22,45.74
2,8.64,33.56,1,8.89,33.47,3,8.72,33.80,4,19.22,1:04.96
1,9.05,42.609,2,9.17,42.636,3,8.89,42.682,4,13.93,1:18.890
