THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
3,13.15,13.15,1,12.90,12.90,4,13.32,13.32,2,13.04,13.04,6,13.45,13.45,4,13.32,13.32
4,9.66,22.81,1,9.68,22.58,5,9.68,23.00,2,9.65,22.69,6,9.66,23.11,3,9.48,22.80
3,9.38,32.19,1,9.36,31.94,5,9.41,32.41,2,9.37,32.06,6,9.60,32.71,4,9.60,32.40
3,9.57,41.76,1,9.59,41.53,4,9.46,41.87,2,9.60,41.66,6,9.39,42.10,5,9.60,42.00
3,9.75,51.51,1,9.74,51.27,4,9.72,51.59,2,9.74,51.40,6,9.74,51.84,5,9.71,51.71
3,9.73,1:01.24,1,9.71,1:00.98,4,9.75,1:01.34,2,9.72,1:01.12,6,9.71,1:01.55,5,9.72,1:01.43
3,9.66,1:10.90,1,9.72,1:10.70,4,9.68,1:11.02,2,9.62,1:10.74,6,9.69,1:11.24,4,9.59,1:11.02
3,9.66,1:20.56,2,9.66,1:20.36,5,9.91,1:20.93,1,9.50,1:20.24,6,9.78,1:21.02,4,9.83,1:20.85
0,,PHOTO,2,9.86,1:30.22,0,,PHOTO,1,9.88,1:30.12,6,9.93,1:30.95,5,9.93,1:30.78
