ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME
3,9.43,9.43,5,9.90,9.90,4,9.70,9.70,2,9.24,9.24,6,10.11,10.11,1,9.09,9.09
3,13.00,22.43,5,12.82,22.72,4,12.88,22.58,2,13.06,22.30,6,12.77,22.88,1,13.12,22.21
3,12.19,34.62,5,12.26,34.98,4,12.24,34.82,2,12.22,34.52,6,12.25,35.13,1,12.24,34.45
3,12.46,47.08,5,12.31,47.29,4,12.38,47.20,2,12.46,46.98,6,12.30,47.43,1,12.42,46.87
3,12.08,59.16,5,12.10,59.39,4,12.11,59.31,2,12.08,59.06,6,12.12,59.55,1,12.10,58.97
3,11.70,1:10.86,5,11.65,1:11.04,4,11.56,1:10.87,1,11.64,1:10.70,6,11.69,1:11.24,1,11.73,1:10.70
4,9.88,1:20.74,5,9.82,1:20.86,1,9.61,1:20.48,2,9.88,1:20.58,6,9.73,1:20.97,3,9.96,1:20.66
4,9.76,1:30.50,5,9.81,1:30.67,1,9.79,1:30.27,2,9.79,1:30.37,6,9.81,1:30.78,3,9.81,1:30.47
3,9.17,1:39.67,5,9.20,1:39.87,1,9.22,1:39.49,2,9.22,1:39.59,6,9.25,1:40.03,4,9.31,1:39.78
3,9.10,1:48.77,5,9.08,1:48.95,1,9.03,1:48.52,2,9.05,1:48.64,6,9.09,1:49.12,4,9.08,1:48.86
3,8.89,1:57.66,5,8.86,1:57.81,1,8.94,1:57.46,2,8.94,1:57.58,6,9.04,1:58.16,4,8.90,1:57.76
3,8.90,2:06.56,4,8.80,2:06.61,1,8.88,2:06.34,2,8.89,2:06.47,6,9.40,2:07.56,5,8.92,2:06.68
4,9.13,2:15.69,2,8.88,2:15.49,1,9.00,2:15.34,3,9.16,2:15.63,6,9.92,2:17.48,5,9.06,2:15.74
3,9.63,2:25.299,2,,2:24.577,0,,PHOTO,6,22.05,2:37.609,5,10.46,2:27.912,4,9.62,2:25.332
