Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.88,6.88,3,7.12,7.12,2,6.99,6.99,4,7.21,7.21
1,8.92,15.80,3,8.92,16.04,2,8.95,15.94,4,8.94,16.15
1,8.49,24.29,3,8.45,24.49,2,8.45,24.39,4,8.44,24.59
1,8.55,32.84,2,8.43,32.92,3,8.61,33.00,4,8.58,33.17
3,45.12,1:17.960,0,,PEN,2,8.91,41.908,1,8.73,41.897
