HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
1,13.29,13.29,3,13.40,,2,13.37,13.37,4,13.48,13.48
2,9.42,22.71,4,9.60,,1,9.26,22.63,3,9.35,22.83
2,9.45,32.16,4,9.43,,1,9.45,32.08,3,9.44,32.27
1,9.10,41.26,4,9.25,,2,9.27,41.35,3,9.20,41.47
1,9.13,50.39,4,9.00,,2,9.12,50.47,3,9.09,50.56
1,9.03,59.42,4,8.96,,2,9.03,59.50,3,9.02,59.58
1,8.92,1:08.34,3,9.15,,4,9.57,1:09.07,2,9.02,1:08.60
1,9.00,1:17.34,3,9.10,,4,9.30,1:18.37,2,8.91,1:17.51
1,8.97,1:26.291,3,9.67,,3,9.60,1:27.950,2,9.07,1:26.562
