BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
1,7.80,7.80,3,8.45,8.45,2,7.86,7.86,4,8.57,8.57,5,8.73,8.73
1,10.91,18.71,3,10.67,19.12,2,10.87,18.73,4,10.64,19.21,5,10.68,19.41
1,10.83,29.54,3,10.85,29.97,2,10.98,29.71,4,10.84,30.05,5,10.76,30.17
1,10.55,40.09,4,10.67,40.64,2,10.64,40.35,3,10.53,40.58,5,10.61,40.78
1,10.62,50.71,3,10.41,51.05,2,10.46,50.81,4,10.57,51.15,5,10.54,51.32
1,10.24,1:00.95,2,10.06,1:01.11,3,10.36,1:01.17,4,10.28,1:01.43,5,10.23,1:01.55
1,10.42,1:11.37,4,10.47,1:11.58,2,10.24,1:11.41,3,10.15,1:11.58,5,10.25,1:11.80
3,10.17,1:21.54,2,9.95,1:21.53,5,10.14,1:21.55,1,9.90,1:21.48,4,9.75,1:21.55
4,10.14,1:31.68,2,10.08,1:31.61,5,10.20,1:31.75,3,10.15,1:31.63,1,9.84,1:31.39
2,9.90,1:41.58,4,10.04,1:41.65,5,10.05,1:41.80,3,10.01,1:41.64,1,10.09,1:41.48
5,10.10,1:51.68,2,9.92,1:51.57,3,9.79,1:51.59,4,9.99,1:51.63,1,10.02,1:51.50
3,9.76,2:01.44,1,9.79,2:01.36,5,9.88,2:01.47,4,9.83,2:01.46,2,9.93,2:01.43
3,9.64,2:11.08,2,9.44,2:10.80,5,9.72,2:11.19,1,9.28,2:10.74,4,9.67,2:11.10
5,9.74,2:20.815,1,9.03,2:19.825,3,9.45,2:20.641,2,9.18,2:19.913,4,9.68,2:20.778
