THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Anna DAVYDENKO POSITION,Anna DAVYDENKO LAP TIME,Anna DAVYDENKO ELAPSED TIME,LI Hongshuang POSITION,LI Hongshuang LAP TIME,LI Hongshuang ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME
1,14.91,14.91,4,15.16,15.16,3,14.94,14.94,2,14.93,14.93
2,10.54,25.45,4,10.58,25.74,3,10.66,25.60,1,10.13,25.06
2,9.69,35.14,4,9.70,35.44,3,9.64,35.24,1,9.88,34.94
2,9.82,44.96,4,9.79,45.23,3,9.81,45.05,1,9.91,44.85
3,10.00,54.96,4,9.91,55.14,2,9.82,54.87,1,9.90,54.75
3,10.10,1:05.06,4,10.24,1:05.38,2,10.06,1:04.93,1,10.05,1:04.80
2,9.80,1:14.86,4,10.84,1:16.22,1,9.75,1:14.68,3,10.08,1:14.88
2,9.78,1:24.64,4,11.48,1:27.70,1,9.85,1:24.53,3,10.04,1:24.92
2,10.03,1:34.67,4,11.72,1:39.42,1,10.07,1:34.60,3,10.06,1:34.98
