Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,German Andres TIRADO OVIEDO POSITION,German Andres TIRADO OVIEDO LAP TIME,German Andres TIRADO OVIEDO ELAPSED TIME
2,9.60,9.60,6,9.90,9.90,3,9.71,9.71,1,9.50,9.50,4,9.77,9.77,7,9.95,9.95,5,9.79,9.79
4,13.24,22.84,5,12.99,22.89,7,13.24,22.95,3,13.23,22.73,2,12.86,22.63,1,12.67,22.62,5,13.10,22.89
6,11.25,34.09,1,10.74,33.63,7,11.29,34.24,5,11.23,33.96,4,11.21,33.84,2,11.08,33.70,2,10.81,33.70
6,10.84,44.93,2,10.91,44.54,7,10.79,45.03,5,10.89,44.85,4,10.89,44.73,3,10.95,44.65,1,10.67,44.37
6,10.50,55.43,2,10.46,55.00,7,10.52,55.55,5,10.48,55.33,4,10.48,55.21,3,10.45,55.10,1,10.52,54.89
5,9.87,1:05.30,1,10.13,1:05.13,7,9.87,1:05.42,6,10.07,1:05.40,3,10.02,1:05.23,4,10.17,1:05.27,2,10.27,1:05.16
4,9.43,1:14.73,2,9.50,1:14.63,3,9.23,1:14.65,6,9.55,1:14.95,1,9.31,1:14.54,5,9.53,1:14.80,7,9.80,1:14.96
5,9.86,1:24.59,3,9.80,1:24.43,4,9.87,1:24.52,1,9.33,1:24.28,2,9.78,1:24.32,6,9.87,1:24.67,7,9.78,1:24.74
5,9.57,1:34.16,3,9.57,1:34.00,4,9.55,1:34.07,1,9.55,1:33.83,2,9.57,1:33.89,6,9.62,1:34.29,7,9.83,1:34.57
5,9.47,1:43.63,2,9.27,1:43.27,4,9.39,1:43.46,3,9.45,1:43.28,1,9.24,1:43.13,6,9.49,1:43.78,7,9.50,1:44.07
4,8.92,1:52.55,2,9.15,1:52.42,3,9.05,1:52.51,5,9.33,1:52.61,1,9.19,1:52.32,6,9.01,1:52.79,7,9.69,1:53.76
5,9.45,2:02.00,2,9.09,2:01.51,3,9.13,2:01.64,6,9.53,2:02.14,1,9.07,2:01.39,4,9.10,2:01.89,7,10.15,2:03.91
5,9.27,2:11.27,2,9.07,2:10.58,3,9.03,2:10.67,6,9.32,2:11.46,1,9.10,2:10.49,4,9.31,2:11.20,7,10.57,2:14.48
6,9.43,2:20.708,2,9.13,2:19.71,3,9.13,2:19.80,5,9.21,2:20.670,1,9.12,2:19.61,4,9.36,2:20.569,7,10.71,2:25.192
