Debora SECCHI POSITION,Debora SECCHI LAP TIME,Debora SECCHI ELAPSED TIME,CSILIP Rita POSITION,CSILIP Rita LAP TIME,CSILIP Rita ELAPSED TIME,ZHALYALETDINOVA Karina POSITION,ZHALYALETDINOVA Karina LAP TIME,ZHALYALETDINOVA Karina ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
1,17.005,17.005,3,17.147,17.147,2,17.071,17.071,4,17.534,17.534
3,13.531,30.535,2,13.346,30.493,1,13.318,30.389,4,13.271,30.805
3,11.978,42.513,2,11.977,42.470,1,12.031,42.419,4,11.852,42.656
2,10.349,52.861,4,11.009,53.478,1,10.401,52.820,3,10.376,53.032
1,10.020,1:02.881,4,10.986,1:04.463,2,10.104,1:02.923,3,10.059,1:03.091
2,10.549,1:13.430,4,11.661,1:16.123,1,10.397,1:13.320,3,10.486,1:13.576
1,10.425,1:23.854,4,12.276,1:28.399,3,10.703,1:24.022,2,10.352,1:23.928
1,10.269,1:34.122,4,13.136,1:41.534,3,10.939,1:34.961,2,10.352,1:34.279
2,10.12,1:44.236,4,13.23,1:54.756,3,11.10,1:46.058,1,9.91,1:44.188
