Oliver RINGER POSITION,Oliver RINGER LAP TIME,Oliver RINGER ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,7.21,7.21,1,6.94,6.94,3,7.33,7.33,4,7.35,7.35
4,9.60,16.81,1,8.86,15.80,3,9.14,16.47,2,8.99,16.34
4,9.24,26.05,1,8.51,24.31,3,8.74,25.21,2,8.38,24.72
4,9.49,35.54,1,8.75,33.06,3,8.69,33.90,2,8.53,33.25
4,9.75,45.29,0,,PHOTO,3,8.88,42.78,0,,PHOTO
