Sean Qi Jun YEO POSITION,Sean Qi Jun YEO LAP TIME,Sean Qi Jun YEO ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,CECH Danielius POSITION,CECH Danielius LAP TIME,CECH Danielius ELAPSED TIME,KWOK Tsz Ho POSITION,KWOK Tsz Ho LAP TIME,KWOK Tsz Ho ELAPSED TIME,WOLF Tobias POSITION,WOLF Tobias LAP TIME,WOLF Tobias ELAPSED TIME,NEDYALKOV Ivaylo POSITION,NEDYALKOV Ivaylo LAP TIME,NEDYALKOV Ivaylo ELAPSED TIME
1,10.56,10.56,3,10.93,10.93,2,10.76,10.76,4,11.12,,6,11.50,11.50,5,11.27,11.27
1,14.13,24.69,3,14.06,24.99,2,14.09,24.85,4,13.99,,6,13.87,25.37,5,13.95,25.22
1,13.00,37.69,3,13.02,38.01,2,13.00,37.85,4,13.06,,6,13.06,38.43,5,13.06,38.28
1,12.27,49.96,3,12.22,50.23,2,12.24,50.09,4,12.18,,6,12.13,50.56,5,12.16,50.44
1,12.01,1:01.97,3,11.96,1:02.19,2,12.01,1:02.10,4,11.99,,6,11.96,1:02.52,5,11.99,1:02.43
1,12.18,1:14.15,3,12.26,1:14.45,2,12.19,1:14.29,4,12.23,,6,12.24,1:14.76,5,12.23,1:14.66
1,11.92,1:26.07,3,11.95,1:26.40,2,11.96,1:26.25,4,12.00,,6,12.04,1:26.80,5,12.00,1:26.66
1,10.75,1:36.82,3,10.75,1:37.15,2,10.77,1:37.02,4,10.73,,6,10.73,1:37.53,5,10.74,1:37.40
1,10.04,1:46.86,3,10.02,1:47.17,2,10.07,1:47.09,6,10.11,,5,9.78,1:47.31,4,9.88,1:47.28
1,9.76,1:56.62,3,9.75,1:56.92,4,10.20,1:57.29,6,10.09,,2,9.60,1:56.91,5,10.15,1:57.43
1,9.69,2:06.31,2,9.42,2:06.34,4,9.92,2:07.21,6,10.12,,3,9.50,2:06.41,5,10.15,2:07.58
3,9.85,2:16.16,1,9.25,2:15.59,4,9.74,2:16.95,6,27.43,,2,9.55,2:15.96,5,10.71,2:18.29
3,9.93,2:26.09,1,9.48,2:25.07,4,9.99,2:26.94,6,12.53,,2,9.62,2:25.58,5,11.19,2:29.48
3,10.33,2:36.422,1,9.87,2:34.949,4,10.41,2:37.356,6,13.35,,2,9.90,2:35.487,5,11.50,2:40.985
