TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME
4,12.89,12.89,2,12.68,12.68,5,13.02,13.02,1,12.62,12.62,2,12.68,12.68
4,9.37,22.26,3,9.49,22.17,5,9.36,22.38,2,9.48,22.10,1,9.32,22.00
4,9.36,31.62,2,9.30,31.47,5,9.32,31.70,3,9.43,31.53,1,9.39,31.39
3,9.25,40.87,2,9.24,40.71,5,9.26,40.96,4,9.36,40.89,1,9.23,40.62
4,9.41,50.28,2,9.37,50.08,5,9.45,50.41,3,9.29,50.18,1,9.35,49.97
4,9.43,59.71,2,9.46,59.54,5,9.34,59.75,3,9.44,59.62,1,9.45,59.42
4,9.37,1:09.08,1,9.11,1:08.65,5,9.48,1:09.23,3,9.34,1:08.96,2,9.40,1:08.82
4,9.27,1:18.35,1,9.15,1:17.80,5,9.31,1:18.54,3,9.37,1:18.33,2,9.23,1:18.05
3,9.64,1:27.99,1,9.49,1:27.29,5,9.69,1:28.23,4,9.82,1:28.15,2,9.43,1:27.48
