Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Kristina NZL1 POSITION,Kristina NZL1 LAP TIME,Kristina NZL1 ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME
1,8.320,8.320,4,9.244,9.244,3,8.860,8.860,2,8.566,8.566
1,11.025,19.345,3,10.550,19.793,4,11.056,19.916,2,10.913,19.479
1,10.888,30.233,3,10.747,30.540,4,10.708,30.623,2,10.876,30.354
1,10.881,41.113,4,10.881,41.420,3,10.791,41.413,2,10.873,41.226
1,10.895,52.008,3,10.913,52.332,4,11.110,52.523,2,10.951,52.177
1,10.879,1:02.886,3,10.962,1:03.293,4,10.996,1:03.519,2,10.849,1:03.025
1,10.765,1:13.651,3,10.615,1:13.907,4,11.504,1:15.023,2,10.703,1:13.728
1,10.526,1:24.176,3,10.548,1:24.455,4,11.757,1:26.779,2,10.553,1:24.281
2,10.769,1:34.944,3,10.659,1:35.113,4,12.411,1:39.189,1,10.644,1:34.925
3,10.654,1:45.598,2,10.163,1:45.275,4,12.954,1:52.143,1,10.073,1:44.998
3,10.445,1:56.043,2,10.161,1:55.436,4,13.882,2:06.025,1,10.294,1:55.291
3,10.870,2:06.913,2,10.289,2:05.725,4,13.849,2:19.873,1,10.372,2:05.662
3,11.282,2:18.194,1,9.920,2:15.644,4,13.685,2:33.558,2,10.449,2:16.111
3,11.36,2:29.546,1,10.45,2:26.086,4,14.08,2:47.637,2,10.50,2:26.603
