Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME
1,12.34,12.34,2,12.44,12.44,4,12.68,12.68,3,12.56,12.56,5,12.80,12.80
1,9.39,21.73,2,9.40,21.84,4,9.40,22.08,3,9.40,21.96,5,9.41,22.21
1,9.15,30.88,2,9.21,31.05,4,9.12,31.20,3,9.20,31.16,5,9.13,31.34
1,9.14,40.02,2,9.11,40.16,4,9.18,40.38,3,9.11,40.27,5,9.18,40.52
1,9.15,49.17,2,9.13,49.29,4,9.10,49.48,3,9.11,49.38,5,9.08,49.60
3,9.03,58.20,1,8.70,57.99,4,8.85,58.33,2,8.79,58.17,5,8.91,58.51
4,8.86,1:07.06,1,8.70,1:06.69,3,8.65,1:06.98,2,8.71,1:06.88,5,8.68,1:07.19
4,8.88,1:15.94,1,8.82,1:15.51,3,8.82,1:15.80,2,8.77,1:15.65,5,8.87,1:16.06
4,9.01,1:24.954,1,8.93,1:24.44,3,9.00,1:24.80,2,8.88,1:24.53,5,9.03,1:25.092
