Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
3,13.62,13.62,2,13.60,13.60,4,13.78,13.78,1,13.43,13.43
2,10.20,23.82,3,10.35,23.95,4,10.30,24.08,1,10.37,23.80
3,10.50,34.32,2,10.35,34.30,4,10.49,34.57,1,10.40,34.20
3,10.04,44.36,2,9.94,44.24,4,9.96,44.53,1,9.96,44.16
3,9.64,54.00,2,9.64,53.88,4,9.67,54.20,1,9.72,53.88
3,9.57,1:03.57,1,9.43,1:03.31,4,9.55,1:03.75,2,9.62,1:03.50
1,9.41,1:12.98,2,9.68,1:12.99,4,9.65,1:13.40,3,9.68,1:13.18
1,9.79,1:22.77,2,9.86,1:22.85,4,10.04,1:23.44,3,10.19,1:23.37
1,10.21,1:32.978,2,10.16,1:33.008,3,10.33,1:33.766,4,10.78,1:34.145
