Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME
3,13.28,13.28,4,13.32,13.32,2,13.10,13.10,1,13.08,13.08
4,10.32,23.61,1,10.03,23.36,3,10.37,23.47,2,10.37,23.45
4,9.69,33.30,1,9.62,32.98,3,9.73,33.21,2,9.74,33.19
4,9.52,42.83,1,9.68,42.66,2,9.48,42.69,3,9.56,42.76
3,9.43,52.26,2,9.49,52.16,4,9.56,52.26,1,9.38,52.14
4,9.62,1:01.89,2,9.49,1:01.66,3,9.41,1:01.67,1,9.41,1:01.55
4,9.22,1:11.12,1,9.35,1:11.01,3,9.42,1:11.10,2,9.47,1:11.02
1,8.76,1:19.88,3,9.31,1:20.32,4,9.29,1:20.39,2,9.22,1:20.24
1,9.33,1:29.201,3,9.58,1:29.895,4,10.03,1:30.418,2,9.60,1:29.840
