Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
3,13.16,13.16,1,13.04,13.04,2,13.13,13.13,4,13.35,13.35
2,10.06,23.22,1,10.13,23.17,3,10.20,23.33,4,9.99,23.34
2,9.51,32.73,1,9.46,32.63,4,9.56,32.89,3,9.45,32.79
2,9.80,42.53,1,9.82,42.45,4,9.85,42.74,3,9.82,42.61
2,9.67,52.20,1,9.66,52.11,4,9.68,52.42,3,9.67,52.28
2,9.40,1:01.60,1,9.43,1:01.54,4,9.47,1:01.89,3,9.45,1:01.73
2,9.22,1:10.82,1,9.20,1:10.74,4,9.46,1:11.35,3,9.24,1:10.97
2,9.15,1:19.97,1,9.16,1:19.90,4,9.89,1:21.24,3,9.12,1:20.09
1,9.27,1:29.235,2,9.35,1:29.244,4,10.43,1:31.661,3,9.28,1:29.369
