Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME,Sarah CHEN POSITION,Sarah CHEN LAP TIME,Sarah CHEN ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
1,13.18,13.18,2,13.29,13.29,3,13.42,13.42,4,13.55,13.55
1,10.14,23.32,4,10.33,23.62,3,10.19,23.61,2,9.94,23.49
1,9.94,33.26,4,9.83,33.45,2,9.68,33.29,3,9.87,33.36
1,9.71,42.97,4,9.86,43.31,2,9.76,43.05,3,9.84,43.20
1,9.75,52.72,4,9.69,53.00,2,9.75,52.80,3,9.64,52.84
1,9.79,1:02.51,4,10.40,1:03.40,3,9.95,1:02.75,2,9.75,1:02.59
1,10.14,1:12.65,4,10.48,1:13.88,3,9.92,1:12.67,2,10.08,1:12.67
4,40.32,1:52.97,2,11.12,1:25.00,3,35.60,1:48.27,1,10.39,1:23.06
3,26.73,2:19.699,1,11.51,1:36.504,2,20.85,2:09.111,0,,PEN
