WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
2,14.67,14.67,1,14.54,14.54,3,14.74,14.74,4,14.88,14.88
2,12.08,26.75,1,12.05,26.59,3,12.11,26.85,4,12.10,26.98
2,11.42,38.17,1,11.45,38.04,4,11.51,38.36,3,11.31,38.29
2,11.23,49.40,1,11.26,49.30,4,11.27,49.63,3,11.20,49.49
2,10.95,1:00.35,1,10.95,1:00.25,4,10.92,1:00.55,3,10.97,1:00.46
1,10.77,1:11.12,2,10.92,1:11.17,3,10.75,1:11.30,4,10.89,1:11.35
1,9.48,1:20.60,2,9.97,1:21.14,3,9.91,1:21.21,4,10.19,1:21.54
1,9.52,1:30.12,2,9.96,1:31.10,3,9.98,1:31.19,4,10.08,1:31.62
1,10.35,1:40.461,3,10.20,1:41.299,2,10.06,1:41.246,4,10.12,1:41.735
